element1,element2,element3,element4,M,TC,R,heakey
Zn,Ge,Nb,Cd,0.0,0.0,128.01453,30324148
Zn,Ge,Nb,In,0.0,0.0,114.44271,30324149
Zn,Ge,Nb,Sn,0.0,0.0,102.91174,30324150
Zn,Ge,Nb,Hf,0.0,0.0,145.27477,30324172
Zn,Ge,Nb,Ta,0.0,0.0,146.46093,30324173
Zn,Ge,Nb,W,0.0,0.0,145.7532,30324174
Zn,Ge,Nb,Re,0.0,0.0,142.1472,30324175
Zn,Ge,Nb,Os,0.0,0.0,136.45231,30324176
Zn,Ge,Nb,Ir,0.0,0.0,131.31158,30324177
Zn,Ge,Nb,Pt,0.0,0.0,131.56751,30324178
Zn,Ge,Nb,Au,0.0,0.0,129.72885,30324179
Zn,Ge,Nb,Hg,0.0,0.0,122.01034,30324180
Zn,Ge,Nb,Tl,0.0,0.0,112.17053,30324181
Zn,Ge,Nb,Pb,0.0,0.0,104.33848,30324182
Zn,Ge,Nb,Bi,0.0,0.0,103.03777,30324183
Zn,Ge,Mo,Tc,0.0,0.0,136.78756,30324243
Zn,Ge,Mo,Ru,0.0,0.0,131.21929,30324244
Zn,Ge,Mo,Rh,0.0,0.0,130.86087,30324245
Zn,Ge,Mo,Pd,0.0,0.0,136.59845,30324246
Zn,Ge,Mo,Ag,0.0,0.0,138.55319,30324247
Zn,Ge,Mo,Cd,0.0,0.0,132.56982,30324248
Zn,Ge,Mo,In,0.0,0.0,118.70794,30324249
Zn,Ge,Mo,Sn,0.0,0.0,105.44858,30324250
Zn,Ge,Mo,Hf,0.0,0.0,147.18882,30324272
Zn,Ge,Mo,Ta,0.0,0.0,146.91208999999998,30324273
Zn,Ge,Mo,W,0.0,0.0,143.35945,30324274
Zn,Ge,Mo,Re,0.0,0.0,137.84476,30324275
Zn,Ge,Mo,Os,0.0,0.0,131.87977,30324276
Zn,Ge,Mo,Ir,0.0,0.0,128.70283,30324277
Zn,Ge,Mo,Pt,0.0,0.0,132.55271000000002,30324278
Zn,Ge,Mo,Au,0.0,0.0,133.49893,30324279
Zn,Ge,Mo,Hg,0.0,0.0,126.37933999999998,30324280
Zn,Ge,Mo,Tl,0.0,0.0,115.97305,30324281
Zn,Ge,Mo,Pb,0.0,0.0,107.69333,30324282
Zn,Ge,Mo,Bi,0.0,0.0,104.01041,30324283
Zn,Ge,Tc,Ru,0.0,0.0,125.04253,30324344
Zn,Ge,Tc,Rh,0.0,0.0,125.5393,30324345
Zn,Ge,Tc,Pd,0.0,0.0,134.64851000000002,30324346
Zn,Ge,Tc,Ag,0.0,0.0,138.81146,30324347
Zn,Ge,Tc,Cd,0.0,0.0,134.45351000000002,30324348
Zn,Ge,Tc,In,0.0,0.0,121.09492,30324349
Zn,Ge,Tc,Sn,0.0,0.0,107.20194,30324350
Zn,Ge,Tc,Hf,0.0,0.0,145.84413,30324372
Zn,Ge,Tc,Ta,0.0,0.0,143.53065,30324373
Zn,Ge,Tc,W,0.0,0.0,138.35529,30324374
Zn,Ge,Tc,Re,0.0,0.0,131.99748,30324375
Zn,Ge,Tc,Os,0.0,0.0,125.5043,30324376
Zn,Ge,Tc,Ir,0.0,0.0,123.25532,30324377
Zn,Ge,Tc,Pt,0.0,0.0,129.19058,30324378
Zn,Ge,Tc,Au,0.0,0.0,133.48542,30324379
Zn,Ge,Tc,Hg,0.0,0.0,128.91516,30324380
Zn,Ge,Tc,Tl,0.0,0.0,118.05998999999998,30324381
Zn,Ge,Tc,Pb,0.0,0.0,108.2276,30324382
Zn,Ge,Tc,Bi,0.0,0.0,105.64557,30324383
Zn,Ge,Ru,Rh,0.0,0.0,117.03806000000002,30324445
Zn,Ge,Ru,Pd,0.0,0.0,128.50411,30324446
Zn,Ge,Ru,Ag,0.0,0.0,133.88558999999998,30324447
Zn,Ge,Ru,Cd,0.0,0.0,130.05199,30324448
Zn,Ge,Ru,In,0.0,0.0,118.3288,30324449
Zn,Ge,Ru,Sn,0.0,0.0,104.18708,30324450
Zn,Ge,Ru,Hf,0.0,0.0,140.55723999999998,30324472
Zn,Ge,Ru,Ta,0.0,0.0,137.94451,30324473
Zn,Ge,Ru,W,0.0,0.0,133.04162,30324474
Zn,Ge,Ru,Re,0.0,0.0,126.95422,30324475
Zn,Ge,Ru,Os,0.0,0.0,119.5736,30324476
Zn,Ge,Ru,Ir,0.0,0.0,114.9891,30324477
Zn,Ge,Ru,Pt,0.0,0.0,122.78893,30324478
Zn,Ge,Ru,Au,0.0,0.0,128.8997,30324479
Zn,Ge,Ru,Hg,0.0,0.0,125.75338,30324480
Zn,Ge,Ru,Tl,0.0,0.0,116.36701,30324481
Zn,Ge,Ru,Pb,0.0,0.0,107.75177,30324482
Zn,Ge,Ru,Bi,0.0,0.0,104.77893,30324483
Zn,Ge,Rh,Pd,0.0,0.0,111.3816,30324546
Zn,Ge,Rh,Ag,0.0,0.0,109.27882,30324547
Zn,Ge,Rh,Cd,0.0,0.0,102.35923,30324548
Zn,Ge,Rh,In,0.0,0.0,91.49851,30324549
Zn,Ge,Rh,Sn,0.0,0.0,83.71133,30324550
Zn,Ge,Rh,Hf,0.0,0.0,135.20033999999998,30324572
Zn,Ge,Rh,Ta,0.0,0.0,134.6998,30324573
Zn,Ge,Rh,W,0.0,0.0,133.09011,30324574
Zn,Ge,Rh,Re,0.0,0.0,129.03545,30324575
Zn,Ge,Rh,Os,0.0,0.0,120.82937,30324576
Zn,Ge,Rh,Ir,0.0,0.0,111.11468,30324577
Zn,Ge,Rh,Pt,0.0,0.0,108.1855,30324578
Zn,Ge,Rh,Au,0.0,0.0,105.93926,30324579
Zn,Ge,Rh,Hg,0.0,0.0,102.25354,30324580
Zn,Ge,Rh,Tl,0.0,0.0,95.89739,30324581
Zn,Ge,Rh,Pb,0.0,0.0,90.56271,30324582
Zn,Ge,Rh,Bi,0.0,0.0,94.18638,30324583
Zn,Ge,Pd,Ag,0.0,0.0,75.41597,30324647
Zn,Ge,Pd,Cd,0.0,0.0,67.58001,30324648
Zn,Ge,Pd,In,0.0,0.0,58.52929,30324649
Zn,Ge,Pd,Sn,0.0,0.0,60.12008,30324650
Zn,Ge,Pd,Hf,0.0,0.0,132.35856,30324672
Zn,Ge,Pd,Ta,0.0,0.0,136.65335,30324673
Zn,Ge,Pd,W,0.0,0.0,137.92036000000002,30324674
Zn,Ge,Pd,Re,0.0,0.0,137.44941,30324675
Zn,Ge,Pd,Os,0.0,0.0,132.37599,30324676
Zn,Ge,Pd,Ir,0.0,0.0,117.90227,30324677
Zn,Ge,Pd,Pt,0.0,0.0,92.41791,30324678
Zn,Ge,Pd,Au,0.0,0.0,75.8023,30324679
Zn,Ge,Pd,Hg,0.0,0.0,69.37408,30324680
Zn,Ge,Pd,Tl,0.0,0.0,66.04213,30324681
Zn,Ge,Pd,Pb,0.0,0.0,69.1495,30324682
Zn,Ge,Pd,Bi,0.0,0.0,84.47613,30324683
Zn,Ge,Ag,Cd,0.0,0.0,48.81862,30324748
Zn,Ge,Ag,In,0.0,0.0,38.4492,30324749
Zn,Ge,Ag,Sn,0.0,0.0,41.18491,30324750
Zn,Ge,Ag,Hf,0.0,0.0,127.20804,30324772
Zn,Ge,Ag,Ta,0.0,0.0,136.40362,30324773
Zn,Ge,Ag,W,0.0,0.0,139.45509,30324774
Zn,Ge,Ag,Re,0.0,0.0,140.23846,30324775
Zn,Ge,Ag,Os,0.0,0.0,137.10427,30324776
Zn,Ge,Ag,Ir,0.0,0.0,116.97527,30324777
Zn,Ge,Ag,Pt,0.0,0.0,81.70298,30324778
Zn,Ge,Ag,Au,0.0,0.0,60.02267,30324779
Zn,Ge,Ag,Hg,0.0,0.0,48.36245,30324780
Zn,Ge,Ag,Tl,0.0,0.0,48.81651,30324781
Zn,Ge,Ag,Pb,0.0,0.0,52.43905,30324782
Zn,Ge,Ag,Bi,0.0,0.0,61.76712,30324783
Zn,Ge,Cd,Hf,0.0,0.0,116.31436,30324872
Zn,Ge,Cd,Ta,0.0,0.0,126.18311,30324873
Zn,Ge,Cd,W,0.0,0.0,131.20334,30324874
Zn,Ge,Cd,Re,0.0,0.0,133.82852,30324875
Zn,Ge,Cd,Os,0.0,0.0,132.30147,30324876
Zn,Ge,Cd,Ir,0.0,0.0,109.07383,30324877
Zn,Ge,Cd,Pt,0.0,0.0,72.18255,30324878
Zn,Ge,Cd,Au,0.0,0.0,46.3096,30324879
Zn,Ge,In,Hf,0.0,0.0,101.85612,30324972
Zn,Ge,In,Ta,0.0,0.0,110.98171,30324973
Zn,Ge,In,W,0.0,0.0,115.23708,30324974
Zn,Ge,In,Re,0.0,0.0,118.98219,30324975
Zn,Ge,In,Os,0.0,0.0,118.1482,30324976
Zn,Ge,In,Ir,0.0,0.0,96.64617,30324977
Zn,Ge,In,Pt,0.0,0.0,60.45216,30324978
Zn,Ge,In,Au,0.0,0.0,33.959140000000005,30324979
Zn,Ge,In,Tl,0.0,0.0,22.37444,30324981
Zn,Ge,Sn,Hf,0.0,0.0,93.55219,30325072
Zn,Ge,Sn,Ta,0.0,0.0,99.35223,30325073
Zn,Ge,Sn,W,0.0,0.0,102.02113,30325074
Zn,Ge,Sn,Re,0.0,0.0,104.7195,30325075
Zn,Ge,Sn,Os,0.0,0.0,103.7049,30325076
Zn,Ge,Sn,Ir,0.0,0.0,86.43241,30325077
Zn,Ge,Sn,Pt,0.0,0.0,59.63052,30325078
Zn,Ge,Sn,Au,0.0,0.0,37.10616,30325079
Zn,Ge,Sn,Tl,0.0,0.0,23.97024,30325081
Zn,Ge,Sn,Bi,0.0,0.0,36.63699,30325083
Zn,Ge,Hf,Ta,0.0,0.0,149.76335,30327273
Zn,Ge,Hf,W,0.0,0.0,149.64101000000002,30327274
Zn,Ge,Hf,Re,0.0,0.0,147.47101,30327275
Zn,Ge,Hf,Os,0.0,0.0,142.54936999999998,30327276
Zn,Ge,Hf,Ir,0.0,0.0,134.80813,30327277
Zn,Ge,Hf,Pt,0.0,0.0,127.6771,30327278
Zn,Ge,Hf,Au,0.0,0.0,120.56857,30327279
Zn,Ge,Hf,Hg,0.0,0.0,110.76516,30327280
Zn,Ge,Hf,Tl,0.0,0.0,102.68409,30327281
Zn,Ge,Hf,Pb,0.0,0.0,96.89984,30327282
Zn,Ge,Hf,Bi,0.0,0.0,97.28026,30327283
Zn,Ge,Ta,W,0.0,0.0,148.28958,30327374
Zn,Ge,Ta,Re,0.0,0.0,144.78908,30327375
Zn,Ge,Ta,Os,0.0,0.0,138.99199,30327376
Zn,Ge,Ta,Ir,0.0,0.0,133.2647,30327377
Zn,Ge,Ta,Pt,0.0,0.0,132.65495,30327378
Zn,Ge,Ta,Au,0.0,0.0,128.45255,30327379
Zn,Ge,Ta,Hg,0.0,0.0,119.84637,30327380
Zn,Ge,Ta,Tl,0.0,0.0,108.98365,30327381
Zn,Ge,Ta,Pb,0.0,0.0,101.30775,30327382
Zn,Ge,Ta,Bi,0.0,0.0,100.02662,30327383
Zn,Ge,W,Re,0.0,0.0,138.54273999999998,30327475
Zn,Ge,W,Os,0.0,0.0,132.83799,30327476
Zn,Ge,W,Ir,0.0,0.0,130.28822,30327477
Zn,Ge,W,Pt,0.0,0.0,133.8784,30327478
Zn,Ge,W,Au,0.0,0.0,132.3312,30327479
Zn,Ge,W,Hg,0.0,0.0,124.57865,30327480
Zn,Ge,W,Tl,0.0,0.0,112.27891,30327481
Zn,Ge,W,Pb,0.0,0.0,105.2678,30327482
Zn,Ge,W,Bi,0.0,0.0,102.21628,30327483
Zn,Ge,Re,Os,0.0,0.0,126.47178999999998,30327576
Zn,Ge,Re,Ir,0.0,0.0,125.58236,30327577
Zn,Ge,Re,Pt,0.0,0.0,132.46551000000002,30327578
Zn,Ge,Re,Au,0.0,0.0,134.3106,30327579
Zn,Ge,Re,Hg,0.0,0.0,130.07712,30327580
Zn,Ge,Re,Tl,0.0,0.0,115.00312,30327581
Zn,Ge,Re,Pb,0.0,0.0,107.71908,30327582
Zn,Ge,Re,Bi,0.0,0.0,104.50589,30327583
Zn,Ge,Os,Ir,0.0,0.0,118.04117,30327677
Zn,Ge,Os,Pt,0.0,0.0,126.11644,30327678
Zn,Ge,Os,Au,0.0,0.0,131.85187,30327679
Zn,Ge,Os,Hg,0.0,0.0,127.33583,30327680
Zn,Ge,Os,Tl,0.0,0.0,116.20657,30327681
Zn,Ge,Os,Pb,0.0,0.0,107.55418,30327682
Zn,Ge,Os,Bi,0.0,0.0,103.90943,30327683
Zn,Ge,Ir,Pt,0.0,0.0,112.63662,30327778
Zn,Ge,Ir,Au,0.0,0.0,113.43101,30327779
Zn,Ge,Ir,Hg,0.0,0.0,108.38967,30327780
Zn,Ge,Ir,Tl,0.0,0.0,99.96181,30327781
Zn,Ge,Ir,Pb,0.0,0.0,92.34913,30327782
Zn,Ge,Ir,Bi,0.0,0.0,93.71512,30327783
Zn,Ge,Pt,Au,0.0,0.0,81.45147,30327879
Zn,Ge,Pt,Hg,0.0,0.0,73.43778,30327880
Zn,Ge,Pt,Tl,0.0,0.0,67.83498,30327881
Zn,Ge,Pt,Pb,0.0,0.0,68.19158,30327882
Zn,Ge,Pt,Bi,0.0,0.0,77.141,30327883
Zn,Ge,Au,Hg,0.0,0.0,45.30613,30327980
Zn,Ge,Au,Tl,0.0,0.0,44.28361,30327981
Zn,Ge,Au,Pb,0.0,0.0,47.33743,30327982
Zn,Ge,Au,Bi,0.0,0.0,55.46323,30327983
Zn,Y,Zr,Nb,0.0,0.0,101.25541,30394041
Zn,Y,Zr,Mo,0.0,0.0,109.12902,30394042
Zn,Y,Zr,Tc,0.0,0.0,118.55757,30394043
Zn,Y,Zr,Ru,0.0,0.0,128.0188,30394044
Zn,Y,Zr,Rh,0.0,0.0,135.13147,30394045
Zn,Y,Zr,Pd,0.0,0.0,136.2022,30394046
Zn,Y,Zr,Ag,0.0,0.0,132.07873,30394047
Zn,Y,Zr,Cd,0.0,0.0,140.10111,30394048
Zn,Y,Zr,In,0.0,0.0,162.15668,30394049
Zn,Y,Zr,Sn,0.0,0.0,163.567,30394050
Zn,Y,Zr,Hf,0.0,0.0,104.96894,30394072
Zn,Y,Zr,Ta,0.0,0.0,107.68862,30394073
Zn,Y,Zr,W,0.0,0.0,115.25235,30394074
Zn,Y,Zr,Re,0.0,0.0,122.92697,30394075
Zn,Y,Zr,Os,0.0,0.0,130.06988,30394076
Zn,Y,Zr,Ir,0.0,0.0,133.83934,30394077
Zn,Y,Zr,Pt,0.0,0.0,133.07496,30394078
Zn,Y,Zr,Au,0.0,0.0,130.14557,30394079
Zn,Y,Zr,Hg,0.0,0.0,141.41034,30394080
Zn,Y,Zr,Tl,0.0,0.0,159.58809,30394081
Zn,Y,Zr,Pb,0.0,0.0,161.81706,30394082
Zn,Y,Zr,Bi,0.0,0.0,165.57686,30394083
Zn,Y,Nb,Mo,0.0,0.0,103.52372,30394142
Zn,Y,Nb,Tc,0.0,0.0,114.93855,30394143
Zn,Y,Nb,Ru,0.0,0.0,122.53948,30394144
Zn,Y,Nb,Rh,0.0,0.0,128.42397,30394145
Zn,Y,Nb,Pd,0.0,0.0,131.76898,30394146
Zn,Y,Nb,Ag,0.0,0.0,131.97181,30394147
Zn,Y,Nb,Cd,0.0,0.0,143.36108000000002,30394148
Zn,Y,Nb,In,0.0,0.0,165.34978,30394149
Zn,Y,Nb,Sn,0.0,0.0,163.69716,30394150
Zn,Y,Nb,Hf,0.0,0.0,107.70188,30394172
Zn,Y,Nb,Ta,0.0,0.0,107.81829,30394173
Zn,Y,Nb,W,0.0,0.0,114.44759,30394174
Zn,Y,Nb,Re,0.0,0.0,121.67846000000002,30394175
Zn,Y,Nb,Os,0.0,0.0,126.79113999999998,30394176
Zn,Y,Nb,Ir,0.0,0.0,129.44756999999998,30394177
Zn,Y,Nb,Pt,0.0,0.0,130.37947,30394178
Zn,Y,Nb,Au,0.0,0.0,131.16871,30394179
Zn,Y,Nb,Hg,0.0,0.0,144.66245,30394180
Zn,Y,Nb,Tl,0.0,0.0,162.00958,30394181
Zn,Y,Nb,Pb,0.0,0.0,160.06232,30394182
Zn,Y,Nb,Bi,0.0,0.0,158.40911,30394183
Zn,Y,Mo,Tc,0.0,0.0,117.19479,30394243
Zn,Y,Mo,Ru,0.0,0.0,122.02095,30394244
Zn,Y,Mo,Rh,0.0,0.0,127.79791000000002,30394245
Zn,Y,Mo,Pd,0.0,0.0,133.87381000000002,30394246
Zn,Y,Mo,Ag,0.0,0.0,136.61976,30394247
Zn,Y,Mo,Cd,0.0,0.0,149.26598,30394248
Zn,Y,Mo,In,0.0,0.0,169.83033999999998,30394249
Zn,Y,Mo,Sn,0.0,0.0,163.59551000000002,30394250
Zn,Y,Mo,Hf,0.0,0.0,116.21172,30394272
Zn,Y,Mo,Ta,0.0,0.0,114.77955,30394273
Zn,Y,Mo,W,0.0,0.0,119.4403,30394274
Zn,Y,Mo,Re,0.0,0.0,124.88747,30394275
Zn,Y,Mo,Os,0.0,0.0,127.27745,30394276
Zn,Y,Mo,Ir,0.0,0.0,129.31847,30394277
Zn,Y,Mo,Pt,0.0,0.0,132.57034,30394278
Zn,Y,Mo,Au,0.0,0.0,135.8925,30394279
Zn,Y,Mo,Hg,0.0,0.0,149.26977,30394280
Zn,Y,Mo,Tl,0.0,0.0,163.94799,30394281
Zn,Y,Mo,Pb,0.0,0.0,157.83379,30394282
Zn,Y,Mo,Bi,0.0,0.0,153.63935,30394283
Zn,Y,Tc,Ru,0.0,0.0,121.47424,30394344
Zn,Y,Tc,Rh,0.0,0.0,127.874,30394345
Zn,Y,Tc,Pd,0.0,0.0,137.70564,30394346
Zn,Y,Tc,Ag,0.0,0.0,142.19211,30394347
Zn,Y,Tc,Cd,0.0,0.0,153.82357,30394348
Zn,Y,Tc,In,0.0,0.0,170.71338,30394349
Zn,Y,Tc,Sn,0.0,0.0,160.18165,30394350
Zn,Y,Tc,Hf,0.0,0.0,125.28603,30394372
Zn,Y,Tc,Ta,0.0,0.0,122.79226,30394373
Zn,Y,Tc,W,0.0,0.0,125.25465,30394374
Zn,Y,Tc,Re,0.0,0.0,127.06188,30394375
Zn,Y,Tc,Os,0.0,0.0,127.03288,30394376
Zn,Y,Tc,Ir,0.0,0.0,128.59886,30394377
Zn,Y,Tc,Pt,0.0,0.0,135.27164,30394378
Zn,Y,Tc,Au,0.0,0.0,140.68284,30394379
Zn,Y,Tc,Hg,0.0,0.0,151.81536,30394380
Zn,Y,Tc,Tl,0.0,0.0,161.85517,30394381
Zn,Y,Tc,Pb,0.0,0.0,154.4246,30394382
Zn,Y,Tc,Bi,0.0,0.0,149.70717,30394383
Zn,Y,Ru,Rh,0.0,0.0,128.69616000000002,30394445
Zn,Y,Ru,Pd,0.0,0.0,143.62125,30394446
Zn,Y,Ru,Ag,0.0,0.0,147.82615,30394447
Zn,Y,Ru,Cd,0.0,0.0,154.32406,30394448
Zn,Y,Ru,In,0.0,0.0,164.66863,30394449
Zn,Y,Ru,Sn,0.0,0.0,153.89401999999998,30394450
Zn,Y,Ru,Hf,0.0,0.0,135.4205,30394472
Zn,Y,Ru,Ta,0.0,0.0,129.94978,30394473
Zn,Y,Ru,W,0.0,0.0,129.75123,30394474
Zn,Y,Ru,Re,0.0,0.0,128.71675,30394475
Zn,Y,Ru,Os,0.0,0.0,126.37598,30394476
Zn,Y,Ru,Ir,0.0,0.0,127.65391,30394477
Zn,Y,Ru,Pt,0.0,0.0,138.79324,30394478
Zn,Y,Ru,Au,0.0,0.0,144.68804,30394479
Zn,Y,Ru,Hg,0.0,0.0,150.05775,30394480
Zn,Y,Ru,Tl,0.0,0.0,155.49978000000002,30394481
Zn,Y,Ru,Pb,0.0001,0.0,150.73148999999998,30394482
Zn,Y,Ru,Bi,0.0,0.0,147.90783000000002,30394483
Zn,Y,Rh,Pd,0.0,0.0,149.03819,30394546
Zn,Y,Rh,Ag,0.0,0.0,145.59082,30394547
Zn,Y,Rh,Cd,0.0,0.0,144.22214,30394548
Zn,Y,Rh,In,0.0,0.0,149.87306,30394549
Zn,Y,Rh,Sn,0.0,0.0,145.51539,30394550
Zn,Y,Rh,Hf,0.0,0.0,141.71463,30394572
Zn,Y,Rh,Ta,0.0,0.0,132.55041,30394573
Zn,Y,Rh,W,0.0,0.0,134.63031,30394574
Zn,Y,Rh,Re,0.0,0.0,134.07951,30394575
Zn,Y,Rh,Os,0.0,0.0,132.88046,30394576
Zn,Y,Rh,Ir,0.0,0.0,135.85173999999998,30394577
Zn,Y,Rh,Pt,0.0,0.0,143.72961,30394578
Zn,Y,Rh,Au,0.0,0.0,141.8129,30394579
Zn,Y,Rh,Hg,0.0,0.0,140.98865,30394580
Zn,Y,Rh,Tl,0.0,0.0,145.03475,30394581
Zn,Y,Rh,Pb,0.0,0.0,145.92161000000002,30394582
Zn,Y,Rh,Bi,0.0,0.0,148.96546,30394583
Zn,Y,Pd,Ag,0.0,0.0,135.15747,30394647
Zn,Y,Pd,Cd,0.0,0.0,132.64938999999998,30394648
Zn,Y,Pd,In,0.0,0.0,137.30611000000002,30394649
Zn,Y,Pd,Sn,0.0,0.0,137.62938,30394650
Zn,Y,Pd,Hf,0.0,0.0,142.78753,30394672
Zn,Y,Pd,Ta,0.0,0.0,138.83791000000002,30394673
Zn,Y,Pd,W,0.0,0.0,140.27926000000002,30394674
Zn,Y,Pd,Re,0.0,0.0,143.24694,30394675
Zn,Y,Pd,Os,0.0,0.0,146.12546,30394676
Zn,Y,Pd,Ir,0.0,0.0,148.35452,30394677
Zn,Y,Pd,Pt,0.0,0.0,141.29916,30394678
Zn,Y,Pd,Au,0.0,0.0,132.6313,30394679
Zn,Y,Pd,Hg,0.0,0.0,130.73776999999998,30394680
Zn,Y,Pd,Tl,0.0,0.0,134.88652,30394681
Zn,Y,Pd,Pb,0.0,0.0,143.31496,30394682
Zn,Y,Pd,Bi,0.0,0.0,148.2404,30394683
Zn,Y,Ag,Cd,0.0,0.0,126.53642,30394748
Zn,Y,Ag,In,0.0,0.0,127.33913,30394749
Zn,Y,Ag,Sn,0.0,0.0,127.2143,30394750
Zn,Y,Ag,Hf,0.0,0.0,138.46123,30394772
Zn,Y,Ag,Ta,0.0,0.0,139.50277,30394773
Zn,Y,Ag,W,0.0,0.0,143.92491,30394774
Al,Ge,Ta,Tl,0.0,0.0,98.51451,13327381
Al,Ge,Ta,Pb,0.0,0.0,91.90768,13327382
Al,Ge,Ta,Bi,0.0,0.0,89.36178000000001,13327383
Al,Ge,W,Re,0.0,0.0,131.72824,13327475
Al,Ge,W,Os,0.0,0.0,127.40688,13327476
Al,Ge,W,Ir,0.0,0.0,125.17095,13327477
Al,Ge,W,Pt,0.0,0.0,127.5365,13327478
Al,Ge,W,Au,0.0,0.0,124.50534,13327479
Al,Ge,W,Hg,0.0,0.0,115.67768,13327480
Al,Ge,W,Tl,0.0,0.0,102.31791,13327481
Al,Ge,W,Pb,0.0,0.0,95.48859,13327482
Al,Ge,W,Bi,0.0,0.0,91.41228,13327483
Al,Ge,Re,Os,0.0,0.0,122.38673,13327576
Al,Ge,Re,Ir,0.0,0.0,122.25986,13327577
Al,Ge,Re,Pt,0.0,0.0,127.96783,13327578
Al,Ge,Re,Au,0.0,0.0,127.68406,13327579
Al,Ge,Re,Hg,0.0,0.0,118.09486,13327580
Al,Ge,Re,Tl,0.0,0.0,105.67699,13327581
Al,Ge,Re,Pb,0.0,0.0,98.43307,13327582
Al,Ge,Re,Bi,0.0,0.0,94.17898,13327583
Al,Ge,Os,Ir,0.0,0.0,116.5672,13327677
Al,Ge,Os,Pt,0.0,0.0,124.18497,13327678
Al,Ge,Os,Au,0.0,0.0,125.91227,13327679
Al,Ge,Os,Hg,0.0,0.0,117.75274,13327680
Al,Ge,Os,Tl,0.0,0.0,105.18478,13327681
Al,Ge,Os,Pb,0.0,0.0,97.99023,13327682
Al,Ge,Os,Bi,0.0,0.0,93.98687,13327683
Al,Ge,Ir,Pt,0.0,0.0,109.8681,13327778
Al,Ge,Ir,Au,0.0,0.0,105.80843,13327779
Al,Ge,Ir,Hg,0.0,0.0,95.09311,13327780
Al,Ge,Ir,Tl,0.0,0.0,87.3457,13327781
Al,Ge,Ir,Pb,0.0,0.0,82.25341999999999,13327782
Al,Ge,Ir,Bi,0.0,0.0,81.97459,13327783
Al,Ge,Pt,Au,0.0,0.0,74.59295999999999,13327879
Al,Ge,Pt,Hg,0.0,0.0,60.89761,13327880
Al,Ge,Pt,Tl,0.0,0.0,57.94736999999999,13327881
Al,Ge,Pt,Pb,0.0,0.0,58.33039,13327882
Zn,Y,Ag,Re,0.0,0.0,148.2133,30394775
Zn,Y,Ag,Os,0.0,0.0,151.22772,30394776
Zn,Y,Ag,Ir,0.0,0.0,147.01346,30394777
Zn,Y,Ag,Pt,0.0,0.0,133.55245,30394778
Zn,Y,Ag,Au,0.0,0.0,123.83791,30394779
Zn,Y,Ag,Hg,0.0,0.0,124.55258,30394780
Zn,Y,Ag,Tl,0.0,0.0,126.61297,30394781
Zn,Y,Ag,Pb,0.0,0.0,129.51666,30394782
Zn,Y,Ag,Bi,0.0,0.0,139.08369,30394783
Zn,Y,Cd,In,0.0,0.0,113.95216,30394849
Zn,Y,Cd,Sn,0.0,0.0,110.96257,30394850
Zn,Y,Cd,Hf,0.0,0.0,147.63803,30394872
Zn,Y,Cd,Ta,0.0,0.0,153.01523999999998,30394873
Zn,Y,Cd,W,0.0,0.0,160.64546,30394874
Zn,Y,Cd,Re,0.0,0.0,165.10643000000002,30394875
Zn,Y,Cd,Os,0.0,0.0,163.52632,30394876
Zn,Y,Cd,Ir,0.0,0.0,149.69438,30394877
Zn,Y,Cd,Pt,0.0,0.0,133.2514,30394878
Zn,Y,Cd,Au,0.0,0.0,125.20362,30394879
Zn,Y,Cd,Hg,0.0,0.0,118.49405,30394880
Zn,Y,Cd,Tl,0.0,0.0,113.8941,30394881
Zn,Y,Cd,Pb,0.0,0.0,114.10802,30394882
Zn,Y,Cd,Bi,0.0,0.0,126.08377,30394883
Zn,Y,In,Sn,0.0,0.0,96.84542,30394950
Zn,Y,In,Hf,0.0,0.0,165.5381,30394972
Zn,Y,In,Ta,0.0,0.0,172.25314,30394973
Zn,Y,In,W,0.0,0.0,176.94687,30394974
Zn,Y,In,Re,0.0,0.0,178.78695,30394975
Zn,Y,In,Os,0.0,0.0,169.4913,30394976
Zn,Y,In,Ir,0.0,0.0,150.66642,30394977
Zn,Y,In,Pt,0.0,0.0,132.17016999999998,30394978
Zn,Y,In,Au,0.0,0.0,120.36013,30394979
Zn,Y,In,Hg,0.0,0.0,110.72547,30394980
Zn,Y,In,Tl,0.0,0.0,103.00839,30394981
Zn,Y,In,Pb,0.0,0.0,102.97225,30394982
Zn,Y,In,Bi,0.0,0.0,110.5239,30394983
Zn,Y,Sn,Hf,0.0,0.0,164.01256999999998,30395072
Zn,Y,Sn,Ta,0.0,0.0,166.61115,30395073
Zn,Y,Sn,W,0.0,0.0,165.88299999999998,30395074
Zn,Y,Sn,Re,0.0,0.0,161.93097,30395075
Zn,Y,Sn,Os,0.0,0.0,153.42935,30395076
Zn,Y,Sn,Ir,0.0,0.0,141.30768999999998,30395077
Zn,Y,Sn,Pt,0.0,0.0,128.24666000000002,30395078
Zn,Y,Sn,Au,0.0,0.0,118.27176,30395079
Zn,Y,Sn,Hg,0.0,0.0,108.78592,30395080
Zn,Y,Sn,Tl,0.0,0.0,102.36976,30395081
Zn,Y,Sn,Pb,0.0,0.0,99.52147,30395082
Zn,Y,Sn,Bi,0.0,0.0,103.00994,30395083
Zn,Y,Hf,Ta,0.0,0.0,114.9733,30397273
Zn,Y,Hf,W,0.0,0.0,122.07346,30397274
Zn,Y,Hf,Re,0.0,0.0,131.18991,30397275
